pick_date,code,name,market,close,alpha120,beta120,d240h,rev_accel,rank
2026-07-08,4702,中美聯合實業股份有限公司,OTC,9.96,0.0664,0.118,-0.0214,,101
2026-07-08,1521,大億交通工業製造股份有限公司,TWSE,26.1,0.0654,0.299,-0.0951,0.13,102
2026-07-08,1236,宏亞食品股份有限公司,TWSE,26.3,0.0587,0.032,-0.0657,-0.0161,103
2026-07-08,8354,冠好科技股份有限公司,OTC,17.4,0.0509,0.218,-0.0842,,104
2026-07-08,1203,味王股份有限公司,TWSE,43.4,0.0457,0.174,-0.0192,0.0356,105
2026-07-08,5344,立衛科技股份有限公司,OTC,16.75,0.0384,0.353,-0.1138,,106
2026-07-08,4550,長佳機電工程股份有限公司,OTC,25.9,0.0332,0.144,-0.0414,,107
2026-07-08,5538,開曼東明控股股份有限公司,TWSE,32.7,0.0309,0.231,-0.0562,,108
2026-07-08,1760,寶齡富錦生技股份有限公司,TWSE,63.9,0.0309,0.136,-0.1032,-0.0421,109
2026-07-08,1452,宏益纖維工業股份有限公司,TWSE,11.8,0.029,0.051,-0.1565,0.3438,110
2026-07-08,3416,融程電訊股份有限公司,TWSE,187.0,0.0283,0.675,-0.0497,0.2546,111
2026-07-08,1216,統一企業股份有限公司,TWSE,78.6,0.027,0.036,-0.0625,0.0139,112
2026-07-08,5609,中菲行國際物流股份有限公司,OTC,79.4,0.0226,0.151,-0.0013,,113
2026-07-08,8443,阿瘦實業股份有限公司,TWSE,11.5,0.0216,0.055,-0.0574,,114
2026-07-08,4120,友華生技醫藥股份有限公司,OTC,47.5,0.0208,0.118,-0.1503,,115
2026-07-08,1730,花仙子企業股份有限公司,TWSE,51.3,0.0135,0.058,-0.0044,0.0733,116
2026-07-08,2867,三商美邦人壽保險股份有限公司,TWSE,8.86,0.0117,0.236,0.0,1.5,117
2026-07-08,4102,永日化學工業股份有限公司,OTC,20.4,0.0108,0.091,-0.1188,,118
2026-07-08,1414,東和紡織股份有限公司,TWSE,19.6,0.0101,0.1,-0.0513,0.2379,119
2026-07-08,1339,昭輝實業股份有限公司,TWSE,45.15,0.0056,0.164,-0.0356,0.3338,120
2026-07-08,9912,偉聯科技股份有限公司,TWSE,12.7,-0.0064,0.053,-0.0155,,121
2026-07-08,2511,太子建設開發股份有限公司,TWSE,8.51,-0.009,0.131,-0.1042,-0.1073,122
2026-07-08,7716,昱臺國際股份有限公司,OTC,25.0,-0.011,0.198,-0.2707,,123
2026-07-08,6527,明達醫學科技股份有限公司,OTC,73.6,-0.011,0.044,-0.1712,,124
2026-07-08,4111,濟生醫藥生技股份有限公司,OTC,30.4,-0.013,0.112,-0.0732,,125
2026-07-08,5490,同亨科技股份有限公司,OTC,30.3,-0.0143,0.412,-0.1207,,126
2026-07-08,1777,生泰合成工業股份有限公司,OTC,75.0,-0.0215,0.092,-0.0683,,127
2026-07-08,6730,常廣股份有限公司,OTC,37.0,-0.0233,0.199,-0.2328,,128
2026-07-08,3592,瑞鼎科技股份有限公司,TWSE,274.0,-0.0242,0.83,-0.2017,,129
2026-07-08,6612,應用奈米醫材科技股份有限公司,OTC,76.1,-0.0277,0.219,-0.305,,130
2026-07-08,8930,青鋼應用材料股份有限公司,OTC,30.35,-0.0321,0.093,-0.0365,,131
2026-07-08,6841,長佳智能股份有限公司,OTC,66.7,-0.0323,0.12,-0.1809,,132
2026-07-08,4564,元翎精密工業股份有限公司,TWSE,18.6,-0.0587,0.321,-0.1288,,133
2026-07-08,4536,拓凱實業股份有限公司,TWSE,173.0,-0.059,0.254,-0.1128,,134
2026-07-08,9946,三發地產股份有限公司,TWSE,19.9,-0.0659,0.196,-0.034,,135
2026-07-08,1315,達新工業股份有限公司,TWSE,63.8,-0.0734,0.161,-0.0078,0.0835,136
2026-07-08,8411,福貞控股股份有限公司,TWSE,12.4,-0.0734,0.148,-0.0606,,137
2026-07-08,2884,玉山金融控股股份有限公司,TWSE,34.75,-0.0752,0.253,0.0,0.0138,138
2026-07-08,6753,龍德造船工業股份有限公司,TWSE,154.0,-0.0753,0.607,-0.2432,,139
2026-07-08,2901,欣欣大眾市場股份有限公司,TWSE,24.3,-0.0846,0.119,-0.087,-0.0478,140
2026-07-08,2845,遠東國際商業銀行股份有限公司,TWSE,13.25,-0.0913,0.153,-0.0038,0.1345,141
2026-07-08,4114,健喬信元醫藥生技股份有限公司,OTC,33.55,-0.0953,0.173,-0.1452,,142
2026-07-08,8093,保銳科技股份有限公司,OTC,20.4,-0.0985,0.082,-0.3849,,143
2026-07-08,6142,友勁科技股份有限公司,TWSE,10.25,-0.1009,0.516,-0.0807,,144
2026-07-08,6767,台灣微創醫療器材股份有限公司,OTC,27.5,-0.1083,0.096,-0.1512,,145
2026-07-08,2634,漢翔航空工業股份有限公司,TWSE,59.6,-0.109,0.562,-0.1011,0.1839,146
2026-07-08,8923,時報文化出版企業股份有限公司,OTC,19.25,-0.1136,0.171,-0.1061,,147
2026-07-08,4126,太平洋醫材股份有限公司,OTC,81.3,-0.1167,0.057,-0.1163,,148
2026-07-08,6512,啟發電子股份有限公司,OTC,20.3,-0.1221,0.129,-0.1116,,149
2026-07-08,6625,必應創造股份有限公司,TWSE,79.2,-0.131,0.255,-0.1769,,150
2026-07-08,8927,北基國際股份有限公司,OTC,22.1,-0.1348,0.065,-0.5169,,151
2026-07-08,4735,豪展醫療科技股份有限公司,OTC,31.1,-0.1371,0.204,-0.0503,,152
2026-07-08,6165,浪凡網路科技股份有限公司,TWSE,51.1,-0.1403,0.358,-0.1441,,153
2026-07-08,6965,中傑投資控股股份有限公司,TWSE,79.3,-0.1456,0.1,-0.2323,,154
2026-07-08,6641,基士德科技股份有限公司,TWSE,18.75,-0.1472,0.245,-0.2959,,155
2026-07-08,4581,World Known MFG(Cayman)Limited,TWSE,50.5,-0.1488,0.136,-0.1078,,156
2026-07-08,4166,友霖生技醫藥股份有限公司,OTC,27.2,-0.1493,0.17,-0.2578,,157
2026-07-08,3597,映興電子股份有限公司,OTC,27.7,-0.1543,0.444,-0.1836,,158
2026-07-08,2611,志信國際股份有限公司,TWSE,14.35,-0.1602,0.28,-0.1163,-0.3721,159
